,word,freq
734,三星,258
3939,教育,258
6,卓别林,256
422,桥段,256
2494,讨厌,255
149,难以,253
1583,兄弟,253
2765,机会,253
3218,警察,253
3507,文艺,253
1301,强大,252
126,第二部,251
5164,姜文,250
7056,小女孩,250
2665,角度,249
4680,时光,249
868,致敬,247
1713,无奈,246
2907,观看,246
955,漂亮,245
3570,体验,245
4380,张曼玉,244
38,注定,243
462,片尾,243
749,電影,242
601,字幕,241
912,好多,241
1135,勇气,241
1579,张国荣,241
1095,两部,240
1121,勇敢,240
208,大片,239
2146,真心,239
80,主演,238
1610,回来,238
2237,意识,238
2857,夏天,238
5847,一群,238
1260,岁月,237
4994,肯定,237
3076,好听,236
5098,无限,236
2697,明明,235
5395,正义,235
1776,工作,234
1294,欣赏,233
3628,巅峰,233
1158,程度,232
3735,吸引,232
4791,男女,232
1354,幻想,231
401,皮克斯,230
412,星爷,230
3546,演绎,230
616,价值,229
1863,惊悚,229
4927,段落,229
2046,女孩,228
200,价值观,227
316,男孩,227
2747,气质,227
3017,视觉,226
5163,到位,226
104,妻子,225
732,那句,225
1269,等待,224
3334,一半,224
617,之外,223
341,之中,222
465,走向,222
2094,出彩,222
2846,一颗,221
3532,有意思,221
1309,放在,220
1392,纪录片,220
3440,学生,220
7138,哈利,220
706,昆汀,219
1306,解释,219
5027,梁朝伟,219
125,开心,218
2710,泪点,218
3124,创意,218
3645,今敏,218
219,评分,217
802,生存,217
968,配音,217
1592,时空,217
5647,片段,217
6557,黑白,217
1420,荒诞,216
1471,永恒,216
2008,两人,216
2550,纯真,216
2994,拍出,216
2062,武士,215
5500,再也,215
145,商业,214
302,版本,213
1530,对白,213
2172,瞬间,213
3424,评价,213
2138,不停,212
981,阳光,211
1637,友情,211
1804,体现,211
5366,日子,211
322,意外,210
1127,消失,210
1151,宗教,210
1984,我会,210
2799,类似,210
4190,有种,210
4536,克制,210
1762,理想,209
1831,看一遍,209
133,铺垫,208
14,小人物,207
310,年度,206
1476,赫本,206
1337,这才,204
1431,叙述,204
2022,享受,204
1290,一条,203
2143,传奇,203
2320,反思,203
4317,慢慢,203
5379,看得,203
7077,残忍,203
459,紧凑,202
783,后半段,202
1089,状态,202
2727,恐惧,202
2852,宇宙,202
3247,还好,202
3936,修复,202
1825,隐喻,201
4176,情怀,201
4974,体会,201
6120,心情,201
1818,哲学,200
2503,犯罪,200
3988,无论是,200
147,正确,199
2086,拖沓,199
489,设置,198
1618,流畅,198
2889,欲望,198
460,回味,197
1587,黑帮,197
2843,一步,197
5073,评论,197
5502,难过,197
432,有时候,196
8524,伤害,196
470,寻找,195
1018,诠释,195
2557,调度,195
6942,谎言,195
169,迷人,194
244,水平,194
2283,机器人,194
2925,本质,194
3619,人民,194
608,精致,193
948,黑色幽默,193
1266,人间,193
1679,证明,193
1698,沉重,193
5939,魔法,193
6215,保护,193
3182,触动,192
3205,不行,192
5139,表情,192
1450,好人,191
2476,错过,191
2504,家族,191
2565,梦境,191
3875,戏剧,191
174,平庸,189
708,黑人,189
1927,全程,189
2580,天使,189
2590,不用,189
2644,十足,189
4125,控制,189
7885,太多,189
808,想法,188
2996,亮点,188
5205,道德,188
570,营造,187
1039,哈哈哈,187
2190,无数,187
5614,导致,187
363,资料馆,186
7533,水准,186
1785,老人,185
2367,堪称,185
2584,小孩子,185
3898,儿童,185
4016,缺乏,185
2107,剧作,184
5517,巧妙,184
493,忍不住,183
569,悬念,183
2399,年前,183
4632,办法,183
395,太过,182
1656,主人公,182
2354,态度,182
3337,哈利波,182
7881,神作,182
481,聪明,180
1416,典型,180
2675,怀疑,180
2941,创造,180
3719,高度,180
7273,斯皮尔伯格,180
2718,紧张,179
3489,幸运,179
4319,全世界,179
5105,理由,179
580,概念,178
1386,和平,178
2666,变化,178
2761,哪吒,178
6844,深度,178
7059,俗套,178
1853,技巧,177
2002,美的,177
3065,牺牲,177
792,华丽,176
1609,第一,176
3073,思想,176
3732,承认,176
203,能量,175
318,成熟,175
893,舒服,175
937,成就,175
6292,可怜,175
546,很难,174
2743,平行,174
2821,一位,173
2914,影史,173
3000,夸张,173
5495,四个,173
1606,懂得,172
5947,尊重,172
2294,感谢,171
2684,黑色,171
5108,世上,171
6657,接近,171
247,机器,170
3244,不算,170
4531,身体,170
7579,老婆,170
353,听到,169
1817,探讨,169
1615,佳作,168
1695,害怕,168
2763,神奇,168
2893,演出,168
3475,平静,168
600,很大,167
1426,演得,166
2518,青年,166
1570,拥抱,165
1911,向往,165
2093,独特,165
5418,愤怒,165
1143,气氛,164
2106,自私,164
4425,配角,164
8269,回家,164
2882,功力,163
4970,怀念,163
913,道理,162
1485,公主,162
1994,事实,162
2988,想想,162
3839,恰到好处,162
476,珍惜,161
508,一件,161
1778,二战,161
2811,流泪,161
2881,张力,161
3348,终究,161
3698,那场,161
3990,标准,161
5000,老套,161
1602,佩服,160
2733,杀手,160
2868,国内,160
3116,反抗,160
4188,共鸣,160
4199,教授,160
64,包括,159
1161,冗长,159
1168,恶心,159
3088,早已,159
7185,再见,159
458,安排,158
789,熟悉,158
1270,一只,158
1300,影子,158
1303,混乱,158
2583,变态,158
3509,展示,158
5116,平凡,158
1508,总会,157
1304,影评,156
1636,氛围,156
2060,苦难,156
2817,邪恶,156
452,大部分,155
737,还原,155
2599,坐在,155
4764,估计,155
6484,说话,155
9535,太棒了,155
277,关注,154
612,前半段,154
3160,刺激,154
3947,奇迹,154
4091,同学,154
8810,早就,154
8871,森林,154
13,时期,153
107,真是太,153
419,模式,153
1088,第三部,153
2412,剩下,153
360,做作,152
418,催泪,152
427,处女作,152
1263,相遇,152
1424,两位,152
2059,农民,152
3391,死去,152
4734,关键,152
6478,纳粹,152
1479,优雅,151
2345,深深,151
3978,啊啊啊,151
982,风景,150
1871,一路,150
1939,年纪,150
6676,渴望,150
210,表面,149
592,地球,149
1624,婚姻,149
2253,狗血,149
2691,爱人,149
3048,麦克,149
4023,反复,149
4917,欢乐,149
4978,火车,149
1815,阶级,148
2664,清晰,148
2774,帕西诺,148
4227,精灵,148
5562,之下,148
9579,记住,148
1057,视听,147
1961,独立,147
2826,高分,147
6897,渲染,147
205,足以,146
451,无疑,146
1244,血腥,146
1735,坚强,146
2669,一星,146
3110,跟着,146
957,轻松,145
1370,做出,145
1374,回头,145
1721,东京,145
3308,几年,145
4754,展开,145
7276,辛德勒,145
134,种族,144
518,悲哀,144
1133,感慨,144
1658,失败,144
2346,爱上,144
2420,天空,144
3668,学会,144
3814,科幻片,144
5780,满分,144
229,鸡汤,143
2732,和谐,143
2841,一点点,143
3165,出场,143
6831,大人,143
656,寂寞,142
777,冒险,142
965,看不懂,142
1229,片名,142
1699,批判,142
1841,最美,142
1844,商业片,142
2472,讲故事,142
56,矫情,141
143,宏大,141
423,冷静,141
1693,答案,141
2200,家人,141
3758,回归,141
4239,造型,141
5369,模仿,141
6469,一把,141
433,奇怪,140
486,利用,140
2246,美学,140
4258,那一刻,140
5839,英国,140
254,一部分,139
572,秘密,139
842,港片,139
1459,律师,139
1557,魔幻,139
1767,讨论,139
2235,法律,139
2293,唯美,139
5023,便是,139
346,底层,138
2254,芬奇,138
2592,黑泽明,138
4350,几次,138
5648,电视,138
384,一年,137
436,层面,137
491,坏人,137
662,有没有,137
